Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,PC_02,PC_07a,PC_07b,SM_7,geo_lat,geo_lng
361318,FOSTORIA COMMUNITY HOSPITAL,501 VAN BUREN STREET,FOSTORIA,OH,44830,SENECA,(419) 435-7734,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361319,SELBY GENERAL HOSPITAL,1106 COLEGATE DRIVE,MARIETTA,OH,45750,WASHINGTON,(740) 568-2000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.4156,-81.4507
361320,HOLZER MEDICAL CENTER JACKSON,500 BURLINGTON ROAD,JACKSON,OH,45640,JACKSON,(740) 395-8500,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361321,"BARNESVILLE HOSPITAL ASSOCIATION, INC",639 WEST MAIN STREET,BARNESVILLE,OH,43713,BELMONT,(740) 425-3941,Not Available,Not Available,Not Available,Not Available,,
361322,BLUFFTON HOSPITAL,139 GARAU STREET,BLUFFTON,OH,45817,ALLEN,(419) 358-9010,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361323,AULTMAN ORRVILLE HOSPITAL,832 SOUTH MAIN STREET,ORRVILLE,OH,44667,WAYNE,(330) 682-3010,Not Available,Not Available,Not Available,Yes,,
361324,OHIOHEALTH SHELBY HOSPITAL,199 WEST MAIN STREET,SHELBY,OH,44875,RICHLAND,(419) 342-5015,Not Available,Not Available,Not Available,Not Available,,
361325,GALION COMMUNITY HOSPITAL,269 PORTLAND WAY SOUTH,GALION,OH,44833,CRAWFORD,(419) 468-4841,Not Available,Not Available,Not Available,Yes,,
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DRIVE,SEAMAN,OH,45679,ADAMS,(937) 386-3400,Not Available,Not Available,Not Available,Not Available,,
361327,COMMUNITY HOSPITALS AND WELLNESS CENTERS,909 EAST SNYDER AVENUE,MONTPELIER,OH,43543,WILLIAMS,(419) 636-1131,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361328,PROMEDICA DEFIANCE REGIONAL HOSPITAL,1200 RALSTON AVENUE,DEFIANCE,OH,43512,DEFIANCE,(419) 783-6955,Not Available,Not Available,Not Available,Yes,,
361329,WYANDOT MEMORIAL HOSPITAL,885 NORTH SANDUSKY AVENUE,UPPER SANDUSKY,OH,43351,WYANDOT,(419) 294-4991,Not Available,Not Available,Not Available,Not Available,,
361330,HOCKING VALLEY COMMUNITY HOSPITAL,601 STATE ROUTE 664N,LOGAN,OH,43138,HOCKING,(740) 380-8000,Not Available,Not Available,Not Available,Not Available,39.5314,-82.4299
361331,ADENA FAYETTE MEDICAL CENTER,1430 COLUMBUS AVENUE,WASHINGTON CH,OH,43160,FAYETTE,(740) 335-1210,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.5114,-83.3874
361332,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,HILLSBORO,OH,45133,HIGHLAND,(937) 393-6100,Not Available,Not Available,Not Available,Not Available,39.2092,-83.5224
361333,FULTON COUNTY HEALTH CENTER,725 SOUTH SHOOP AVENUE,WAUSEON,OH,43567,FULTON,(419) 335-2015,Not Available,Not Available,Not Available,Not Available,,
361334,ADENA PIKE MEDICAL CENTER,100 DAWN LANE,WAVERLY,OH,45690,PIKE,(740) 947-2186,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
363300,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,3333 BURNET AVENUE,CINCINNATI,OH,45229,HAMILTON,(513) 636-3333,,,,Not Available,39.1506,-84.4974
363302,RAINBOW BABIES AND CHILDRENS HOSPITAL,11100 EUCLID AVENUE,CLEVELAND,OH,44106,CUYAHOGA,(216) 844-1000,,,,Not Available,41.5056,-81.6007
363303,AKRON CHILDREN'S HOSPITAL,1 PERKINS SQUARE,AKRON,OH,44308,SUMMIT,(330) 543-8290,,,,Not Available,,
363304,CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHAB,"2801 MARTIN LUTHER KING, JR DRIVE",CLEVELAND,OH,44104,CUYAHOGA,(216) 448-6400,,,,Not Available,41.4756,-81.6207
363305,NATIONWIDE CHILDREN'S HOSPITAL,700 CHILDREN'S DRIVE,COLUMBUS,OH,43205,FRANKLIN,(614) 722-2000,,,,Not Available,39.9556,-82.9657
363306,DAYTON CHILDRENS HOSPITAL,1 CHILDRENS PLZ,DAYTON,OH,45404,MONTGOMERY,(937) 641-5509,,,,Not Available,39.7889,-84.1624
363308,SHRINERS HOSPITALS FOR CHILDREN,"1 CHILDREN'S PLAZA, 2 WEST",DAYTON,OH,45404,MONTGOMERY,(513) 872-6000,,,,Not Available,39.7889,-84.1624
363309,"NATIONWIDE CHILDREN'S HOSPITAL TOLEDO, LLC",2213 CHERRY STREET,TOLEDO,OH,43608,LUCAS,(419) 251-3232,,,,Not Available,41.6856,-83.5407
